unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1735783200,PageView,124,0,0,0,0,124
1735786800,PageView,47,0,0,0,0,47
1735790400,PageView,15,0,0,0,0,15
1735794000,PageView,2,0,0,0,0,2
1735797600,PageView,6,0,0,0,0,6
1735801200,PageView,1137,0,0,0,0,1137
1735804800,PageView,243,0,0,0,0,243
1735808400,PageView,755,0,0,0,0,755
1735812000,PageView,465,0,0,0,0,465
1735815600,PageView,164,0,0,0,0,164
1735819200,PageView,187,0,0,0,0,187
1735822800,PageView,242,0,0,0,0,242
1735826400,PageView,825,0,0,0,0,825
1735830000,PageView,359,0,0,0,0,359
1735833600,PageView,341,0,0,0,0,341
1735837200,PageView,192,0,0,0,0,192
1735840800,PageView,342,0,0,0,0,342
1735844400,PageView,203,0,0,0,0,203
1735848000,PageView,507,0,0,0,0,507
1735851600,PageView,1041,0,0,0,0,1041
1735855200,PageView,1779,0,0,0,0,1779
1735858800,PageView,685,0,0,0,0,685
1735862400,PageView,545,0,0,0,0,545
1735866000,PageView,23,0,0,0,0,23
1735869600,PageView,25,0,0,0,0,25
1735873200,PageView,3,0,0,0,0,3
1735876800,PageView,6,0,0,0,0,6
1735880400,PageView,2,0,0,0,0,2
1735884000,PageView,2,0,0,0,0,2
1735887600,PageView,2,0,0,0,0,2
1735891200,PageView,1,0,0,0,0,1
1735894800,PageView,2,0,0,0,0,2
1735898400,PageView,7,0,0,0,0,7
1735902000,PageView,595,0,0,0,0,595
1735905600,PageView,276,0,0,0,0,276
1735909200,PageView,35,0,0,0,0,35
1735912800,PageView,1,0,0,0,0,1
1735916400,PageView,1,0,0,0,0,1
1735920000,PageView,3,0,0,0,0,3
1735927200,PageView,2,0,0,0,0,2
1735930800,PageView,3,0,0,0,0,3
1735934400,PageView,3,0,0,0,0,3
1735938000,PageView,2,0,0,0,0,2
1735941600,PageView,7,0,0,0,0,7
1735945200,PageView,1,0,0,0,0,1
1735948800,PageView,1,0,0,0,0,1
1735952400,PageView,3,0,0,0,0,3
1735956000,PageView,1,0,0,0,0,1
1735959600,PageView,1,0,0,0,0,1
1735963200,PageView,1,0,0,0,0,1
1735966800,PageView,1,0,0,0,0,1
1735981200,PageView,1,0,0,0,0,1
1735984800,PageView,1,0,0,0,0,1
1735988400,PageView,2,0,0,0,0,2
1735992000,PageView,3,0,0,0,0,3
1735995600,PageView,2,0,0,0,0,2
1735999200,PageView,32,0,0,0,0,32
1736002800,PageView,1,0,0,0,0,1
