unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1736586000,Purchase,1,0,0,0,0,1
1736589600,Purchase,5,0,0,0,0,5
1736593200,Purchase,4,0,0,0,0,4
1736596800,Purchase,3,0,0,0,0,3
1736600400,Purchase,4,0,0,0,0,4
1736604000,Purchase,2,0,0,0,0,2
1736607600,Purchase,7,0,0,0,0,7
1736611200,Purchase,16,0,0,0,0,16
1736614800,Purchase,8,0,0,0,0,8
1736618400,Purchase,22,0,0,0,0,22
1736622000,Purchase,4,0,0,0,0,4
1736625600,Purchase,21,0,0,0,0,21
1736629200,Purchase,28,0,0,0,0,28
1736632800,Purchase,29,0,0,0,0,29
1736636400,Purchase,20,0,0,0,0,20
1736640000,Purchase,13,0,0,0,0,13
1736643600,Purchase,12,0,0,0,0,12
1736647200,Purchase,17,0,0,0,0,17
1736650800,Purchase,6,0,0,0,0,6
1736654400,Purchase,6,0,0,0,0,6
1736658000,Purchase,3,0,0,0,0,3
1736661600,Purchase,5,0,0,0,0,5
1736665200,Purchase,1,0,0,0,0,1
1736668800,Purchase,1,0,0,0,0,1
1736672400,Purchase,2,0,0,0,0,2
1736676000,Purchase,9,0,0,0,0,9
1736679600,Purchase,14,0,0,0,0,14
1736683200,Purchase,8,0,0,0,0,8
1736686800,Purchase,8,0,0,0,0,8
1736690400,Purchase,17,0,0,0,0,17
1736694000,Purchase,5,0,0,0,0,5
1736704800,Purchase,1,0,0,0,0,1
1736708400,Purchase,1,0,0,0,0,1
1736719200,Purchase,1,0,0,0,0,1
